articleID	date	itemType	itemUnified	itemId
1864-04-28_article_002	1864-04-28	placename	plymouth, washington, north carolina	tgn,2076159
1864-04-28_article_002	1864-04-28	placename	plymouth, washington, north carolina	tgn,2076159
1864-04-28_article_002	1864-04-28	persname	wessels,brigadier-general,,,,	wessels,h.,w.
1864-04-28_article_002	1864-04-28	persname	lincoln,,,,,	lincoln
1864-04-28_article_002	1864-04-28	placename	plymouth, washington, north carolina	tgn,2076159
1864-04-28_article_002	1864-04-28	persname	moffitt,colonel,,,,	moffitt
1864-04-28_article_002	1864-04-28	placename	plymouth, washington, north carolina	tgn,2076159
1864-04-28_article_002	1864-04-28	orgname	free school	school
1864-04-28_article_002	1864-04-28	orgname	episcopal church	church
1864-04-28_article_002	1864-04-28	persname	moffitt,lieutenant-colonel,,,,	moffitt
1864-04-28_article_002	1864-04-28	persname	wessels,brigadier-general,h.,w.,,	wessels,h.,w.
1864-04-28_article_002	1864-04-28	persname	stewart,,andrew,,,	stewart,andrew
1864-04-28_article_002	1864-04-28	placename	plymouth, washington, north carolina	tgn,2076159
1864-04-28_article_002	1864-04-28	orgname	provost guard	guard
1864-04-28_article_002	1864-04-28	persname	wessels,brigadier-general,h.,w.,,	wessels,h.,w.
1864-04-28_article_002	1864-04-28	persname	beegle,,d.,f.,,	beegle,d.,f.
1864-04-28_article_002	1864-04-28	placename	plymouth, washington, north carolina	tgn,2076159