source	target	weight
assessed	liquor	0.026000000000000002
assessed	manufacture	0.0245
assessed	etc	0.024
assessed	commission	0.0235
assessed	smoking	0.0235
assessed	selling	0.0235
encumbrance	school	0.026000000000000002
liquor	school	0.0245
manufacture	school	0.023
etc	school	0.0225
commission	school	0.022
school	smoking	0.022
school	selling	0.022
encumbrance	liquor	0.0225
encumbrance	manufacture	0.020999999999999998
encumbrance	etc	0.0205
commission	encumbrance	0.02
encumbrance	smoking	0.02
encumbrance	selling	0.02
liquor	manufacture	0.0195
etc	liquor	0.019000000000000003
commission	liquor	0.018500000000000003
liquor	smoking	0.018500000000000003
liquor	selling	0.018500000000000003
etc	manufacture	0.0175
commission	manufacture	0.017
manufacture	smoking	0.017
manufacture	selling	0.017
commission	etc	0.0165
etc	smoking	0.0165
etc	selling	0.0165
commission	smoking	0.016
commission	selling	0.016
selling	smoking	0.016
mr	states	0.0185
confederate	mr	0.0165
mr	state	0.015
government	mr	0.014499999999999999
bill	mr	0.013999999999999999
mr	president	0.0135
congress	mr	0.0135
committee	mr	0.0135
house	mr	0.0135
confederate	states	0.016
state	states	0.014499999999999999
government	states	0.013999999999999999
bill	states	0.013499999999999998
president	states	0.013
congress	states	0.013
committee	states	0.013
house	states	0.013
confederate	state	0.0125
confederate	government	0.012
bill	confederate	0.0115
confederate	president	0.011
confederate	congress	0.011
committee	confederate	0.011
confederate	house	0.011
government	state	0.010499999999999999
bill	state	0.009999999999999998
president	state	0.0095
congress	state	0.0095
committee	state	0.0095
house	state	0.0095
bill	government	0.0095
government	president	0.009000000000000001
congress	government	0.009000000000000001
committee	government	0.009000000000000001
government	house	0.009000000000000001
bill	president	0.0085
bill	congress	0.0085
bill	committee	0.0085
bill	house	0.0085
congress	president	0.008
committee	president	0.008
house	president	0.008
committee	congress	0.008
congress	house	0.008
committee	house	0.008
army	enemy	0.023
enemy	general	0.021
enemy	wounded	0.0195
cavalry	enemy	0.0195
enemy	force	0.019
enemy	troops	0.019
battle	enemy	0.018500000000000003
enemy	yankees	0.018000000000000002
enemy	gen	0.018000000000000002
army	general	0.015
army	wounded	0.013500000000000002
army	cavalry	0.013500000000000002
army	force	0.013000000000000001
army	troops	0.013000000000000001
army	battle	0.0125
army	yankees	0.012
army	gen	0.012
general	wounded	0.0115
cavalry	general	0.0115
force	general	0.011
general	troops	0.011
battle	general	0.010499999999999999
general	yankees	0.01
gen	general	0.01
cavalry	wounded	0.01
force	wounded	0.0095
troops	wounded	0.0095
battle	wounded	0.009000000000000001
wounded	yankees	0.0085
gen	wounded	0.0085
cavalry	force	0.0095
cavalry	troops	0.0095
battle	cavalry	0.009000000000000001
cavalry	yankees	0.0085
cavalry	gen	0.0085
force	troops	0.009
battle	force	0.0085
force	yankees	0.008
force	gen	0.008
battle	troops	0.0085
troops	yankees	0.008
gen	troops	0.008
battle	yankees	0.0075
battle	gen	0.0075
gen	yankees	0.007
court	yesterday	0.024
charged	court	0.022
court	mayor	0.020999999999999998
case	court	0.020499999999999997
arrested	court	0.019
charge	court	0.019
court	slave	0.0185
court	negro	0.018
court	house	0.018
charged	yesterday	0.019999999999999997
mayor	yesterday	0.019
case	yesterday	0.0185
arrested	yesterday	0.017
charge	yesterday	0.017
slave	yesterday	0.0165
negro	yesterday	0.016
house	yesterday	0.016
charged	mayor	0.017
case	charged	0.0165
arrested	charged	0.015
charge	charged	0.015
charged	slave	0.014499999999999999
charged	negro	0.013999999999999999
charged	house	0.013999999999999999
case	mayor	0.0155
arrested	mayor	0.014
charge	mayor	0.014
mayor	slave	0.0135
mayor	negro	0.013000000000000001
house	mayor	0.013000000000000001
arrested	case	0.0135
case	charge	0.0135
case	slave	0.013
case	negro	0.0125
case	house	0.0125
arrested	charge	0.012
arrested	slave	0.0115
arrested	negro	0.011
arrested	house	0.011
charge	slave	0.0115
charge	negro	0.011
charge	house	0.011
negro	slave	0.010499999999999999
house	slave	0.010499999999999999
house	negro	0.01
gen	river	0.029
gen	yankee	0.026000000000000002
city	gen	0.025
captured	gen	0.025
gen	york	0.0245
gen	prisoners	0.024
gen	miles	0.0225
gen	washington	0.022
gen	morning	0.022
river	yankee	0.022
city	river	0.021
captured	river	0.021
river	york	0.0205
prisoners	river	0.02
miles	river	0.018500000000000003
river	washington	0.018000000000000002
morning	river	0.018000000000000002
city	yankee	0.018000000000000002
captured	yankee	0.018000000000000002
yankee	york	0.0175
prisoners	yankee	0.017
miles	yankee	0.0155
washington	yankee	0.015
morning	yankee	0.015
captured	city	0.017
city	york	0.0165
city	prisoners	0.016
city	miles	0.0145
city	washington	0.014
city	morning	0.014
captured	york	0.0165
captured	prisoners	0.016
captured	miles	0.0145
captured	washington	0.014
captured	morning	0.014
prisoners	york	0.0155
miles	york	0.014
washington	york	0.0135
morning	york	0.0135
miles	prisoners	0.0135
prisoners	washington	0.013
morning	prisoners	0.013
miles	washington	0.0115
miles	morning	0.0115
morning	washington	0.011
district	governor	0.046
district	mh	0.042499999999999996
commonwealth	district	0.0385
district	election	0.035
district	virginia	0.0335
district	norfolk	0.0315
city	district	0.0315
district	petersburg	0.031
counties	district	0.03
governor	mh	0.041499999999999995
commonwealth	governor	0.0375
election	governor	0.034
governor	virginia	0.0325
governor	norfolk	0.0305
city	governor	0.0305
governor	petersburg	0.03
counties	governor	0.028999999999999998
commonwealth	mh	0.034
election	mh	0.0305
mh	virginia	0.028999999999999998
mh	norfolk	0.027
city	mh	0.027
mh	petersburg	0.0265
counties	mh	0.0255
commonwealth	election	0.0265
commonwealth	virginia	0.025
commonwealth	norfolk	0.023
city	commonwealth	0.023
commonwealth	petersburg	0.0225
commonwealth	counties	0.0215
election	virginia	0.0215
election	norfolk	0.0195
city	election	0.0195
election	petersburg	0.019
counties	election	0.018
norfolk	virginia	0.018000000000000002
city	virginia	0.018000000000000002
petersburg	virginia	0.0175
counties	virginia	0.0165
city	norfolk	0.016
norfolk	petersburg	0.0155
counties	norfolk	0.014499999999999999
city	petersburg	0.0155
city	counties	0.014499999999999999
counties	petersburg	0.013999999999999999
house	street	0.056
street	streets	0.052000000000000005
corner	street	0.051000000000000004
broad	street	0.044000000000000004
cary	street	0.044000000000000004
store	street	0.042
franklin	street	0.0415
street	sts	0.0405
building	street	0.0405
house	streets	0.040999999999999995
corner	house	0.04
broad	house	0.033
cary	house	0.033
house	store	0.031
franklin	house	0.0305
house	sts	0.0295
building	house	0.0295
corner	streets	0.036000000000000004
broad	streets	0.028999999999999998
cary	streets	0.028999999999999998
store	streets	0.027
franklin	streets	0.0265
streets	sts	0.0255
building	streets	0.0255
broad	corner	0.028000000000000004
cary	corner	0.028000000000000004
corner	store	0.026000000000000002
corner	franklin	0.025500000000000002
corner	sts	0.0245
building	corner	0.0245
broad	cary	0.021
broad	store	0.019000000000000003
broad	franklin	0.018500000000000003
broad	sts	0.0175
broad	building	0.0175
cary	store	0.019000000000000003
cary	franklin	0.018500000000000003
cary	sts	0.0175
building	cary	0.0175
franklin	store	0.0165
store	sts	0.0155
building	store	0.0155
franklin	sts	0.015
building	franklin	0.015
building	sts	0.014
gap	wood	0.039
gap	notices	0.0365
barrel	gap	0.034
brandy	gap	0.033
gap	wagner	0.0315
bermuda	gap	0.031
gap	whiskey	0.0305
dust	gap	0.0295
gap	wallace	0.028999999999999998
notices	wood	0.0325
barrel	wood	0.030000000000000002
brandy	wood	0.029
wagner	wood	0.027500000000000004
bermuda	wood	0.027000000000000003
whiskey	wood	0.026500000000000003
dust	wood	0.025500000000000002
wallace	wood	0.025
barrel	notices	0.0275
brandy	notices	0.0265
notices	wagner	0.025
bermuda	notices	0.0245
notices	whiskey	0.024
dust	notices	0.023
notices	wallace	0.0225
barrel	brandy	0.024
barrel	wagner	0.0225
barrel	bermuda	0.022
barrel	whiskey	0.0215
barrel	dust	0.0205
barrel	wallace	0.02
brandy	wagner	0.0215
bermuda	brandy	0.020999999999999998
brandy	whiskey	0.020499999999999997
brandy	dust	0.0195
brandy	wallace	0.019
bermuda	wagner	0.0195
wagner	whiskey	0.019
dust	wagner	0.018000000000000002
wagner	wallace	0.0175
bermuda	whiskey	0.0185
bermuda	dust	0.0175
bermuda	wallace	0.017
dust	whiskey	0.017
wallace	whiskey	0.0165
dust	wallace	0.0155
cotton	market	0.0365
corn	cotton	0.03
cotton	prices	0.03
cotton	pound	0.028499999999999998
cotton	price	0.027999999999999997
cotton	flour	0.027499999999999997
cotton	salt	0.0265
cotton	pounds	0.0255
cotton	wheat	0.0255
corn	market	0.0295
market	prices	0.0295
market	pound	0.027999999999999997
market	price	0.027499999999999997
flour	market	0.026999999999999996
market	salt	0.026
market	pounds	0.024999999999999998
market	wheat	0.024999999999999998
corn	prices	0.023
corn	pound	0.0215
corn	price	0.020999999999999998
corn	flour	0.020499999999999997
corn	salt	0.0195
corn	pounds	0.0185
corn	wheat	0.0185
pound	prices	0.0215
price	prices	0.020999999999999998
flour	prices	0.020499999999999997
prices	salt	0.0195
pounds	prices	0.0185
prices	wheat	0.0185
pound	price	0.0195
flour	pound	0.019
pound	salt	0.018000000000000002
pound	pounds	0.017
pound	wheat	0.017
flour	price	0.0185
price	salt	0.0175
pounds	price	0.0165
price	wheat	0.0165
flour	salt	0.017
flour	pounds	0.016
flour	wheat	0.016
pounds	salt	0.015
salt	wheat	0.015
pounds	wheat	0.014
june	stealing	0.0615
august	stealing	0.0535
je	stealing	0.0525
department	stealing	0.05
inspector	stealing	0.048
stealing	va	0.047
hat	stealing	0.0465
fined	stealing	0.0465
dollars	stealing	0.0465
august	june	0.037
je	june	0.036
department	june	0.0335
inspector	june	0.0315
june	va	0.0305
hat	june	0.03
fined	june	0.03
dollars	june	0.03
august	je	0.028
august	department	0.025500000000000002
august	inspector	0.0235
august	va	0.0225
august	hat	0.022
august	fined	0.022
august	dollars	0.022
department	je	0.0245
inspector	je	0.0225
je	va	0.0215
hat	je	0.020999999999999998
fined	je	0.020999999999999998
dollars	je	0.020999999999999998
department	inspector	0.019999999999999997
department	va	0.019
department	hat	0.0185
department	fined	0.0185
department	dollars	0.0185
inspector	va	0.017
hat	inspector	0.0165
fined	inspector	0.0165
dollars	inspector	0.0165
hat	va	0.0155
fined	va	0.0155
dollars	va	0.0155
fined	hat	0.015
dollars	hat	0.015
dollars	fined	0.015
horses	hundred	0.045
horses	sale	0.044
danville	horses	0.041999999999999996
horses	pounds	0.0405
horses	ranaway	0.037
horses	mules	0.036000000000000004
horses	likely	0.035500000000000004
horse	horses	0.0345
horses	raised	0.034
hundred	sale	0.041999999999999996
danville	hundred	0.039999999999999994
hundred	pounds	0.0385
hundred	ranaway	0.034999999999999996
hundred	mules	0.034
hundred	likely	0.0335
horse	hundred	0.0325
hundred	raised	0.032
danville	sale	0.039
pounds	sale	0.037500000000000006
ranaway	sale	0.034
mules	sale	0.033
likely	sale	0.0325
horse	sale	0.0315
raised	sale	0.031
danville	pounds	0.035500000000000004
danville	ranaway	0.032
danville	mules	0.031
danville	likely	0.0305
danville	horse	0.0295
danville	raised	0.028999999999999998
pounds	ranaway	0.0305
mules	pounds	0.029500000000000002
likely	pounds	0.029
horse	pounds	0.028
pounds	raised	0.027500000000000004
mules	ranaway	0.026000000000000002
likely	ranaway	0.025500000000000002
horse	ranaway	0.0245
raised	ranaway	0.024
likely	mules	0.0245
horse	mules	0.0235
mules	raised	0.023
horse	likely	0.023
likely	raised	0.0225
horse	raised	0.0215
railroad	tennessee	0.0485
jackson	railroad	0.0395
gen	railroad	0.0395
railroad	train	0.0385
chattanooga	railroad	0.034
lynchburg	railroad	0.033
east	railroad	0.0325
railroad	staunton	0.032
railroad	river	0.032
jackson	tennessee	0.039
gen	tennessee	0.039
tennessee	train	0.038
chattanooga	tennessee	0.0335
lynchburg	tennessee	0.0325
east	tennessee	0.032
staunton	tennessee	0.0315
river	tennessee	0.0315
gen	jackson	0.03
jackson	train	0.028999999999999998
chattanooga	jackson	0.0245
jackson	lynchburg	0.0235
east	jackson	0.023
jackson	staunton	0.0225
jackson	river	0.0225
gen	train	0.028999999999999998
chattanooga	gen	0.0245
gen	lynchburg	0.0235
east	gen	0.023
gen	staunton	0.0225
gen	river	0.0225
chattanooga	train	0.0235
lynchburg	train	0.0225
east	train	0.022
staunton	train	0.0215
river	train	0.0215
chattanooga	lynchburg	0.018000000000000002
chattanooga	east	0.0175
chattanooga	staunton	0.017
chattanooga	river	0.017
east	lynchburg	0.0165
lynchburg	staunton	0.016
lynchburg	river	0.016
east	staunton	0.0155
east	river	0.0155
river	staunton	0.015
clothing	stolen	0.039
goods	stolen	0.035
articles	stolen	0.032
shoes	stolen	0.0305
pair	stolen	0.0305
ladies	stolen	0.028
mosby	stolen	0.027
stolen	store	0.027
cloth	stolen	0.027
clothing	goods	0.034
articles	clothing	0.031
clothing	shoes	0.0295
clothing	pair	0.0295
clothing	ladies	0.027
clothing	mosby	0.026
clothing	store	0.026
cloth	clothing	0.026
articles	goods	0.027
goods	shoes	0.025500000000000002
goods	pair	0.025500000000000002
goods	ladies	0.023
goods	mosby	0.022
goods	store	0.022
cloth	goods	0.022
articles	shoes	0.0225
articles	pair	0.0225
articles	ladies	0.02
articles	mosby	0.019
articles	store	0.019
articles	cloth	0.019
pair	shoes	0.021
ladies	shoes	0.018500000000000003
mosby	shoes	0.0175
shoes	store	0.0175
cloth	shoes	0.0175
ladies	pair	0.018500000000000003
mosby	pair	0.0175
pair	store	0.0175
cloth	pair	0.0175
ladies	mosby	0.015
ladies	store	0.015
cloth	ladies	0.015
mosby	store	0.014
cloth	mosby	0.014
cloth	store	0.014
dollars	reward	0.0745
feet	reward	0.0715
negro	reward	0.0655
inches	reward	0.0655
black	reward	0.0625
delivery	reward	0.0605
hundred	reward	0.058499999999999996
boy	reward	0.058499999999999996
paid	reward	0.057999999999999996
dollars	feet	0.054
dollars	negro	0.048
dollars	inches	0.048
black	dollars	0.045
delivery	dollars	0.043000000000000003
dollars	hundred	0.041
boy	dollars	0.041
dollars	paid	0.0405
feet	negro	0.045
feet	inches	0.045
black	feet	0.041999999999999996
delivery	feet	0.04
feet	hundred	0.038
boy	feet	0.038
feet	paid	0.0375
inches	negro	0.039
black	negro	0.036000000000000004
delivery	negro	0.034
hundred	negro	0.032
boy	negro	0.032
negro	paid	0.0315
black	inches	0.036000000000000004
delivery	inches	0.034
hundred	inches	0.032
boy	inches	0.032
inches	paid	0.0315
black	delivery	0.031
black	hundred	0.029
black	boy	0.029
black	paid	0.0285
delivery	hundred	0.027000000000000003
boy	delivery	0.027000000000000003
delivery	paid	0.026500000000000003
boy	hundred	0.025
hundred	paid	0.0245
boy	paid	0.0245
association	fe	0.054
fe	penitentiary	0.047
exempt	fe	0.0445
fe	institute	0.042499999999999996
fe	hall	0.0415
fe	indispensable	0.0405
contributions	fe	0.0395
fe	society	0.039
fe	mechanics	0.036000000000000004
association	penitentiary	0.046
association	exempt	0.0435
association	institute	0.041499999999999995
association	hall	0.0405
association	indispensable	0.0395
association	contributions	0.0385
association	society	0.038
association	mechanics	0.035
exempt	penitentiary	0.036500000000000005
institute	penitentiary	0.0345
hall	penitentiary	0.0335
indispensable	penitentiary	0.0325
contributions	penitentiary	0.0315
penitentiary	society	0.031
mechanics	penitentiary	0.028
exempt	institute	0.032
exempt	hall	0.031
exempt	indispensable	0.03
contributions	exempt	0.029
exempt	society	0.0285
exempt	mechanics	0.025500000000000002
hall	institute	0.028999999999999998
indispensable	institute	0.027999999999999997
contributions	institute	0.027
institute	society	0.0265
institute	mechanics	0.0235
hall	indispensable	0.027
contributions	hall	0.026000000000000002
hall	society	0.025500000000000002
hall	mechanics	0.0225
contributions	indispensable	0.025
indispensable	society	0.0245
indispensable	mechanics	0.0215
contributions	society	0.0235
contributions	mechanics	0.0205
mechanics	society	0.02
assistant	hospital	0.052500000000000005
furnished	hospital	0.0485
hospital	medical	0.0455
charge	hospital	0.0435
hospital	regulations	0.0425
hospital	private	0.0415
hospital	hospitals	0.041
circular	hospital	0.04
board	hospital	0.0395
assistant	furnished	0.045
assistant	medical	0.042
assistant	charge	0.04
assistant	regulations	0.039
assistant	private	0.038
assistant	hospitals	0.0375
assistant	circular	0.036500000000000005
assistant	board	0.036000000000000004
furnished	medical	0.038000000000000006
charge	furnished	0.036000000000000004
furnished	regulations	0.035
furnished	private	0.034
furnished	hospitals	0.0335
circular	furnished	0.0325
board	furnished	0.032
charge	medical	0.033
medical	regulations	0.032
medical	private	0.031
hospitals	medical	0.0305
circular	medical	0.029500000000000002
board	medical	0.029
charge	regulations	0.03
charge	private	0.028999999999999998
charge	hospitals	0.028499999999999998
charge	circular	0.0275
board	charge	0.027
private	regulations	0.028
hospitals	regulations	0.0275
circular	regulations	0.026500000000000003
board	regulations	0.026000000000000002
hospitals	private	0.0265
circular	private	0.025500000000000002
board	private	0.025
circular	hospitals	0.025
board	hospitals	0.0245
board	circular	0.0235
rebel	sherman	0.064
rebel	rebels	0.059
atlanta	rebel	0.059
local	rebel	0.054
kentucky	rebel	0.05
ga	rebel	0.0495
georgia	rebel	0.049
rebel	reserve	0.048
rebel	wilmington	0.0475
rebels	sherman	0.046
atlanta	sherman	0.046
local	sherman	0.040999999999999995
kentucky	sherman	0.037
ga	sherman	0.0365
georgia	sherman	0.036
reserve	sherman	0.034999999999999996
sherman	wilmington	0.034499999999999996
atlanta	rebels	0.041
local	rebels	0.036000000000000004
kentucky	rebels	0.032
ga	rebels	0.0315
georgia	rebels	0.031
rebels	reserve	0.03
rebels	wilmington	0.0295
atlanta	local	0.036000000000000004
atlanta	kentucky	0.032
atlanta	ga	0.0315
atlanta	georgia	0.031
atlanta	reserve	0.03
atlanta	wilmington	0.0295
kentucky	local	0.027
ga	local	0.0265
georgia	local	0.026000000000000002
local	reserve	0.025
local	wilmington	0.0245
ga	kentucky	0.0225
georgia	kentucky	0.022
kentucky	reserve	0.020999999999999998
kentucky	wilmington	0.020499999999999997
ga	georgia	0.0215
ga	reserve	0.020499999999999997
ga	wilmington	0.019999999999999997
georgia	reserve	0.02
georgia	wilmington	0.0195
reserve	wilmington	0.0185
clock	friends	0.034
clock	residence	0.034
church	clock	0.031
clock	died	0.0305
clock	funeral	0.0305
aged	clock	0.03
clock	family	0.03
attend	clock	0.0295
clock	morning	0.028999999999999998
friends	residence	0.029
church	friends	0.026000000000000002
died	friends	0.025500000000000002
friends	funeral	0.025500000000000002
aged	friends	0.025
family	friends	0.025
attend	friends	0.0245
friends	morning	0.024
church	residence	0.026000000000000002
died	residence	0.025500000000000002
funeral	residence	0.025500000000000002
aged	residence	0.025
family	residence	0.025
attend	residence	0.0245
morning	residence	0.024
church	died	0.0225
church	funeral	0.0225
aged	church	0.022
church	family	0.022
attend	church	0.0215
church	morning	0.020999999999999998
died	funeral	0.022
aged	died	0.0215
died	family	0.0215
attend	died	0.020999999999999998
died	morning	0.020499999999999997
aged	funeral	0.0215
family	funeral	0.0215
attend	funeral	0.020999999999999998
funeral	morning	0.020499999999999997
aged	family	0.021
aged	attend	0.0205
aged	morning	0.02
attend	family	0.0205
family	morning	0.02
attend	morning	0.0195
fire	night	0.0115
night	water	0.011
feet	night	0.009000000000000001
caught	night	0.009000000000000001
cold	night	0.009000000000000001
fell	night	0.009000000000000001
night	saw	0.0085
broken	night	0.0085
night	room	0.0085
fire	water	0.010499999999999999
feet	fire	0.0085
caught	fire	0.0085
cold	fire	0.0085
fell	fire	0.0085
fire	saw	0.008
broken	fire	0.008
fire	room	0.008
feet	water	0.008
caught	water	0.008
cold	water	0.008
fell	water	0.008
saw	water	0.0075
broken	water	0.0075
room	water	0.0075
caught	feet	0.006
cold	feet	0.006
feet	fell	0.006
feet	saw	0.0055
broken	feet	0.0055
feet	room	0.0055
caught	cold	0.006
caught	fell	0.006
caught	saw	0.0055
broken	caught	0.0055
caught	room	0.0055
cold	fell	0.006
cold	saw	0.0055
broken	cold	0.0055
cold	room	0.0055
fell	saw	0.0055
broken	fell	0.0055
fell	room	0.0055
broken	saw	0.005
room	saw	0.005
broken	room	0.005
dispatch	substitute	0.0575
dispatch	express	0.053500000000000006
dispatch	price	0.051500000000000004
dispatch	office	0.0465
dispatch	paper	0.0425
daily	dispatch	0.041
adams	dispatch	0.0395
coal	dispatch	0.0385
dispatch	forwarded	0.037000000000000005
express	substitute	0.053000000000000005
price	substitute	0.051000000000000004
office	substitute	0.046
paper	substitute	0.042
daily	substitute	0.0405
adams	substitute	0.039
coal	substitute	0.038
forwarded	substitute	0.036500000000000005
express	price	0.047
express	office	0.042
express	paper	0.038
daily	express	0.036500000000000005
adams	express	0.035
coal	express	0.034
express	forwarded	0.0325
office	price	0.04
paper	price	0.036
daily	price	0.0345
adams	price	0.033
coal	price	0.032
forwarded	price	0.0305
office	paper	0.031
daily	office	0.029500000000000002
adams	office	0.028000000000000004
coal	office	0.027000000000000003
forwarded	office	0.025500000000000002
daily	paper	0.025500000000000002
adams	paper	0.024
coal	paper	0.023
forwarded	paper	0.0215
adams	daily	0.0225
coal	daily	0.0215
daily	forwarded	0.02
adams	coal	0.02
adams	forwarded	0.018500000000000003
coal	forwarded	0.0175